source	target	synapse
20991	3175	72
20976	3175	66
20976	3175	66
20976	3175	57
20976	3175	66
20976	3175	61
20976	3175	64
20976	3175	67
20976	3175	73
20976	3175	73
20976	3175	72
21007	3175	73
21007	3175	65
21007	3175	59
21007	3175	67
21007	3175	70
21007	3175	55
21007	3175	63
21007	3175	71
21007	3175	71
21007	3175	69
20957	3175	61
20957	3175	58
20957	3175	68
20957	3175	58
20957	3175	73
20957	3175	56
20957	3175	58
20957	3175	60
20957	3175	62
20957	3175	57
20927	3175	66
20927	3175	73
20927	3175	61
20927	3175	56
20927	3175	56
20927	3175	56
20927	3175	70
20927	3175	73
20927	3175	65
20927	3175	57
20859	3175	65
20859	3175	56
20859	3175	58
20859	3175	58
20859	3175	70
20859	3175	68
20859	3175	70
20859	3175	62
20859	3175	71
20859	3175	72
264250	3175	94
264250	3175	96
264250	3175	92
258568	3175	83
258568	3175	93
258568	3175	93
268832	3175	79
268832	3175	97
268832	3175	80
260872	3175	96
260872	3175	96
260872	3175	87
257960	3175	97
257960	3175	86
257960	3175	78
256214	3175	80
256214	3175	96
256214	3175	83
283869	3175	95
283869	3175	84
283869	3175	77
259123	3175	83
259123	3175	81
259123	3175	74
257408	3175	91
257408	3175	95
257408	3175	84
258476	3175	88
258476	3175	80
258476	3175	92
261335	3175	84
261335	3175	81
261335	3175	89
275254	3175	92
275254	3175	80
275254	3175	81
278675	3175	86
278675	3175	85
278675	3175	93
268275	3175	83
268275	3175	86
268275	3175	79
267820	3175	96
267820	3175	75
267820	3175	90
276302	3175	79
276302	3175	82
276302	3175	74
269387	3175	82
269387	3175	86
269387	3175	78
257354	3175	79
257354	3175	82
257354	3175	84
271740	3175	87
271740	3175	95
271740	3175	85
270033	3175	96
270033	3175	97
270033	3175	92
266532	3175	84
266532	3175	91
266532	3175	75
270490	3175	88
270490	3175	80
270490	3175	88
255055	3175	86
255055	3175	88
255055	3175	74
264377	3175	74
264377	3175	78
264377	3175	85
260230	3175	96
260230	3175	93
260230	3175	78
267233	3175	88
267233	3175	86
267233	3175	83
280431	3175	76
280431	3175	86
280431	3175	97
281569	3175	78
281569	3175	82
281569	3175	90
282034	3175	93
282034	3175	96
282034	3175	79
260248	3175	96
260248	3175	74
260248	3175	95
261332	3175	81
261332	3175	79
261332	3175	74
263206	3175	75
263206	3175	94
263206	3175	85
262665	3175	83
262665	3175	76
262665	3175	85
269547	3175	80
269547	3175	87
269547	3175	74
272245	3175	89
272245	3175	77
272245	3175	75
274101	3175	80
274101	3175	92
274101	3175	81
259110	3175	93
259110	3175	86
259110	3175	74
267740	3175	93
267740	3175	89
267740	3175	78
275830	3175	77
275830	3175	89
275830	3175	78
256269	3175	83
256269	3175	82
256269	3175	81
275753	3175	94
275753	3175	79
275753	3175	94
262027	3175	85
262027	3175	76
262027	3175	89
268321	3175	84
268321	3175	89
268321	3175	75
269418	3175	85
269418	3175	96
269418	3175	93
271261	3175	74
271261	3175	88
271261	3175	91
265506	3175	80
265506	3175	97
265506	3175	91
257415	3175	85
257415	3175	87
257415	3175	88
268185	3175	78
268185	3175	76
268185	3175	76
267685	3175	83
267685	3175	74
267685	3175	85
278162	3175	86
278162	3175	81
278162	3175	78
281038	3175	87
281038	3175	88
281038	3175	77
268282	3175	91
268282	3175	96
268282	3175	74
275206	3175	94
275206	3175	90
275206	3175	82
285011	3175	75
285011	3175	97
285011	3175	84
269410	3175	95
269410	3175	96
269410	3175	93
274149	3175	87
274149	3175	92
274149	3175	84
276393	3175	91
276393	3175	74
276393	3175	80
254473	3175	81
254473	3175	90
254473	3175	81
282159	3175	94
282159	3175	95
282159	3175	81
273982	3175	85
273982	3175	86
273982	3175	97
281552	3175	85
281552	3175	85
281552	3175	75
269511	3175	75
269511	3175	83
269511	3175	90
257366	3175	94
257366	3175	90
257366	3175	78
283879	3175	76
283879	3175	87
283879	3175	80
271854	3175	87
271854	3175	87
271854	3175	86
275240	3175	94
275240	3175	74
275240	3175	82
256256	3175	92
256256	3175	83
256256	3175	89
258531	3175	89
258531	3175	79
258531	3175	82
257319	3175	81
257319	3175	91
257319	3175	87
260831	3175	93
260831	3175	74
260831	3175	82
266559	3175	78
266559	3175	93
266559	3175	95
259764	3175	97
259764	3175	86
259764	3175	77
265479	3175	91
265479	3175	91
265479	3175	75
272282	3175	93
272282	3175	77
272282	3175	92
265452	3175	88
265452	3175	90
265452	3175	75
273978	3175	96
273978	3175	89
273978	3175	74
273477	3175	74
273477	3175	96
273477	3175	87
264317	3175	83
264317	3175	79
264317	3175	89
259099	3175	93
259099	3175	87
259099	3175	88
275763	3175	74
275763	3175	75
275763	3175	87
279324	3175	82
279324	3175	86
279324	3175	86
268276	3175	74
268276	3175	85
268276	3175	74
270566	3175	82
270566	3175	85
270566	3175	90
255042	3175	88
255042	3175	90
255042	3175	88
261910	3175	97
261910	3175	86
261910	3175	75
280444	3175	87
280444	3175	78
280444	3175	97
263170	3175	80
263170	3175	80
263170	3175	78
285584	3175	75
285584	3175	94
285584	3175	91
