secname	pos	x	y	z	dist	diam	cm	Ra	gmax_ch_CavL	gmax_ch_CavN	gmax_ch_HCN	gmax_ch_HCNolm	gmax_ch_HCNp	gmax_ch_KCaS	gmax_ch_Kdrfast	gmax_ch_Kdrfastngf	gmax_ch_Kdrp	gmax_ch_Kdrslow	gmax_ch_KvA	gmax_ch_KvAdistp	gmax_ch_KvAngf	gmax_ch_KvAolm	gmax_ch_KvAproxp	gmax_ch_KvCaB	gmax_ch_KvGroup	gmax_ch_KvM	gmax_ch_Nav	gmax_ch_Navaxonp	gmax_ch_Navbis	gmax_ch_Navcck	gmax_ch_Navngf	gmax_ch_Navp	gmax_ch_leak
pvbasketcell[0].dend[10]	0.5	681.333	213.5	125	50	2	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[10]	0.833333	681.333	213.5	125	83.3333	2	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[10]	1	681.333	213.5	125	100	2	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[11]	0	642.392	121.394	125	100	1.5	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[11]	0.166667	642.392	121.394	125	116.667	1.5	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[11]	0.5	642.392	121.394	125	150	1.5	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[11]	0.833333	642.392	121.394	125	183.333	1.5	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[11]	1	642.392	121.394	125	200	1.5	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[12]	0	603.45	29.288	125	200	1	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[12]	0.166667	603.45	29.288	125	216.667	1	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[12]	0.5	603.45	29.288	125	250	1	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[12]	0.833333	603.45	29.288	125	283.333	1	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[12]	1	603.45	29.288	125	300	1	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[13]	0	681.333	213.5	125	0	2	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
pvbasketcell[0].dend[13]	0.166667	681.333	213.5	125	16.6667	2	1.4	100	0.005	0.0008	0	0	0	2e-06	0.013	0	0	0	0.00015	0	0	0	0	2e-07	0	0	0	0.15	0	0	0	0	0.000180018
