t	axoaxoniccell	bistratifiedcell	cckcell	ivycell	ngfcell	olmcell	pyramidalcell	pvbasketcell	scacell	ca3cell	eccell
134.575	0	203.041	64.21	0.305694	0	5.86434	-0.949858	51.7047	0.00999244	-400.611	0
134.6	0	193.058	60.4936	0.294607	0	6.17964	-0.841125	48.5585	0.00972084	-413.888	0
134.625	0	182.585	56.5728	0.283012	0	6.66021	-0.752059	45.2706	0.00943735	-427.712	0
134.65	0	171.691	52.4456	0.270816	0	7.06311	-0.675791	41.8458	0.00914277	-442.037	0
134.675	0	160.446	48.1259	0.257907	0	7.09421	-0.609048	38.2971	0.00883584	-456.859	0
134.7	0	148.963	43.6599	0.244189	0	6.99245	-0.5501	34.6487	0.00852164	-472.45	0
134.725	0	137.394	39.1298	0.229595	0	6.87202	-0.497221	30.9492	0.00819902	-488.466	0
134.75	0	125.881	34.642	0.214066	0	6.74421	-0.449557	27.2776	0.00786523	-504.904	0
134.775	0	114.526	30.3033	0.197579	0	6.61195	-0.406578	23.7161	0.00751657	-521.795	0
134.8	0	103.379	26.1984	0.180154	0	6.47662	-0.367826	20.6313	0.00714853	-539.203	0
134.825	0	92.4354	22.3651	0.161886	0	6.33917	-0.332895	17.8201	0.0067554	-557.219	0
134.85	0	81.6831	18.8092	0.143117	0	6.20038	-0.301415	14.9448	0.00632982	-575.896	0
134.875	0	71.1441	15.529	0.12444	0	6.06088	-0.27303	12.1298	0.00586246	-595.181	0
134.9	0	60.883	12.5218	0.106464	0	5.92115	-0.247397	9.46549	0.00534262	-615.308	0
134.925	0	51.0035	9.79453	0.0896616	0	5.78162	-0.224193	7.02761	0.00476054	-635.695	0
134.95	0	41.5847	7.35625	0.0742316	0	5.64259	-0.20312	4.86805	0.00411069	-656.141	0
134.975	0	32.6475	5.2019	0.0600975	0	5.50432	-0.183936	3.00447	0.0033967	-676.876	0
135	0	24.2367	3.31109	0.0471146	0	5.36702	-0.166444	1.4214	0.00264756	-697.22	0
135.025	0	16.5307	1.66518	0.0353355	0	5.23085	-0.150477	0.087226	0.00192882	-716.476	0
135.05	0	9.8215	0.260613	0.025024	0	5.09589	-0.135905	-1.02907	0.00130931	-733.821	0
135.075	0	4.3446	-0.897989	0.0164421	0	4.96216	-0.122621	-1.95161	0.000830867	-748.661	0
135.1	0	0.156419	-1.81437	0.00966471	0	4.82966	-0.110525	-2.70008	0.000495689	-760.826	0
135.125	0	-2.87532	-2.50965	0.00453827	0	4.6983	-0.0995251	-3.29402	0.000277968	-770.514	0
135.15	0	-4.98431	-3.01905	0.000771727	0	4.56796	-0.0895341	-3.75454	0.000143929	-778.114	0
135.175	0	-6.41135	-3.3819	-0.00194902	0	4.43851	-0.0804756	-4.10314	6.43227e-05	-784.046	0
135.2	0	-7.35495	-3.63356	-0.00389524	0	4.30982	-0.0722803	-4.35983	1.81724e-05	-788.691	0
135.225	0	-7.96092	-3.80221	-0.00527749	0	4.18193	-0.0648845	-4.54203	-8.05841e-06	-792.37	0
135.25	0	-8.33053	-3.90901	-0.00625224	0	4.05493	-0.058223	-4.66451	-2.25823e-05	-795.338	0
135.275	0	-8.53289	-3.96962	-0.00693451	0	3.92855	-0.0522259	-4.73971	-3.02137e-05	-797.788	0
135.3	0	-8.61539	-3.99576	-0.00740799	0	3.80264	-0.0468234	-4.77808	-3.37337e-05	-799.851	0
135.325	0	-8.61097	-3.99623	-0.00773156	0	3.6767	-0.0419538	-4.78816	-3.47502e-05	-801.603	0
135.35	0	-8.54269	-3.97759	-0.00794448	0	3.54999	-0.0375645	-4.77657	-3.42056e-05	-803.083	0
135.375	0	-8.42678	-3.94455	-0.00807128	0	3.42158	-0.0336128	-4.74814	-3.26639e-05	-804.312	0
135.4	0	-8.27464	-3.90037	-0.00812685	0	3.29027	-0.0300622	-4.70626	-3.04697e-05	-805.305	0
135.425	0	-8.09441	-3.8473	-0.0081209	0	3.15459	-0.0268793	-4.65323	-2.78368e-05	-806.084	0
135.45	0	-7.89206	-3.78693	-0.00806131	0	3.01284	-0.0240311	-4.59079	-2.48997e-05	-806.673	0
135.475	0	-7.67224	-3.72047	-0.00795576	0	2.86321	-0.0214853	-4.52037	-2.17441e-05	-807.099	0
135.5	0	-7.43873	-3.64902	-0.00781191	0	2.70405	-0.0192118	-4.44334	-1.84271e-05	-807.384	0
135.525	0	-7.19476	-3.57357	-0.00763698	0	2.53387	-0.0171825	-4.43062	-1.49895e-05	-807.547	0
135.55	0	-6.94241	-3.4936	-0.00743629	0	2.35126	-0.0153712	-4.45862	-1.14581e-05	-807.599	0
135.575	0	-6.68289	-3.40955	-0.00721357	0	2.15575	-0.0137538	-4.44512	-7.84432e-06	-807.983	0
135.6	0	-6.41485	-3.3236	-0.0069691	0	1.94882	-0.0123086	-4.40382	-4.12744e-06	-808.26	0
135.625	0	-6.14357	-3.23683	-0.00670975	0	1.73416	-0.0110159	-4.34253	-3.24481e-07	-808.438	0
135.65	0	-5.87123	-3.14977	-0.00643912	0	1.51653	-0.00985828	-4.26721	3.50857e-06	-808.526	0
135.675	0	-5.59958	-3.06285	-0.0061601	0	1.30115	-0.00882013	-4.18204	7.34395e-06	-808.531	0
